"","id","review"
"1","rn444065080","I had a significant travel challenge during my 5 day visit to this hotel and the hotel could not have handled it better. Staff members, Chris and Jennifer went beyond my expectations. Chris was especially welcoming and remembered my name each time I saw him. Jennifer handled my difficult situation with professionalism and thoroughness.
The hotel itself was lovely. Common..."
"2","rn443819932","I have never been to a place that so consistently gets it right. Total satisfaction every time I stay at a JW Marriott.
Very clean, extremely restful and the most comfortable beds in the industry.
The staff will help with anything or leave you alone if you need sanctuary. How they know when to do what? Good training and good..."
"3","rn443522549","Perfect downtown location connected by a network of walkways to other hotels , convention centre and Circle Centre shopping Mall , you don't have deal with the winter cold or summer heat . Vehicle parking is easy access to there underground lot ."
"4","rn443358012","Upon arrival, staff is friendly and helpful, and the lobby is inviting - nice scent, warm fire, modern decor. There is an open bar area adjacent to lobby, and a very good Itlaian restaurant (Osteria Pronto) in the hotel as well. The hotel has another bar that adjoins as well as a fully stocked Starbucks upstairs toward meeting rooms. The..."
"5","rn442966592","The city views from the room are nice and the hotel staff is friendly. The Italian restaurant is really good - I highly recommend it for dinner. The hotel lobby bar (located on the right when entering) offers very tasty cocktails and the sports bar (located left from lobby when entering) is a good spot to watch sports on the..."
"6","rn442938164","We stayed here for the Big Ten Championship Game. The hotel is super modern with excellent restaurants. All of the downtown amenities like St. Elmo's etc. are a very short walk. The hotel is adjacent to the convention center and you can walk the entire way to Lucas Oil Stadium using indoor pathways. This has to be the best hotel..."
"7","rn442613202","Stayed here two nights during the Big Ten Championship game. Got to stay on the 31st floor, had beautiful view of the White River. My cousin also came along in his room had an awesome view of the baseball stadium and Lucas Oil Field. Beds were super comfy, shower was awesome, even had spray jets that also shot water out..."
"8","rn442268453","Stayed here for onsite seminar. Hotel is absolutely stunning, especially around this time of year, its all decorated. I had previously booked online, check in was the easiest I have ever experienced, staff were friendly and knowledgeable. Rooms were clean and spacious.
Only downfall I had was the cost of the parking, beware...its costly!"
"9","rn442244537","Everything from the great service and great room with a great view. Nothing bad to report. The only thing I wish was that it was a little closer to the action, but that is what Uber is for. We have been staying primarily at the Omni for the last 4 - 5 years and are happy with the switch. We..."
"10","rn441510327","Stayed at the JW Marriott hotel in Indianapolis for a conference. The hotel is centrally located with lots of restaurants nearby as well as a large indoor mall. The hotel has great amenities and the rooms are current and clean. Beds are comfortable but pillows were very firm."
